"","ID","Country","AQI_Index","Fine_Particles","Coarse_Particles","Ozone","Nitrogen_Dioxide","Sulphur_Dioxide","Carbon_Monoxide","Temp_Celsius","Wind_Kmph","Humidity_Percent","Temp_Fahrenheit","DewPoint_Index","Heat_Index","AQI_Category","Heat_Category","Wind_Category","DewPoint_Category"
"1",1,"Cairo, Egypt",200,125,0,0,0,0,0,35,5.5,15,95,18,31.7,"Unhealthy","Caution","Light Breeze","Somewhat Muggy"
"2",2,"Lahore, Pakistan",177,82.7,0,0,0,0,0,44,5.4,9,111.2,25.8,39.8,"Unhealthy","Extreme Caution","Light Breeze","Oppresive"
"3",3,"Kinshasa, Democratic Republic of the Congo",154,60,0,0,0,0,0,25,0.4,81,77,21.2,22.8,"Unhealthy","Safe","Calm","Muggy"
"4",4,"Chengdu, China",149,55,84,72,28,8,800,32,8,28,89.6,17.6,29,"Unhealthy for Sensitive Groups","Caution","Light Breeze","Somewhat Muggy"
"5",5,"Dhaka, Bangladesh",124,45.1,0,0,0,0,0,36,18.9,42,96.8,24.4,32.8,"Unhealthy for Sensitive Groups","Extreme Caution","Gentle Breeze","Oppresive"
"6",6,"Delhi, India",123,44.5,189,116.9,17,9.5,695,44,27.1,9,111.2,25.8,39.8,"Unhealthy for Sensitive Groups","Extreme Caution","Moderate Breeze","Oppresive"
"7",7,"Jakarta, Indonesia",109,35.4,70.9,18.6,57.4,64.2,0,35,6.7,66,95,28.2,32.1,"Unhealthy for Sensitive Groups","Extreme Caution","Light Breeze","Oppresive"
"8",8,"Kathmandu, Nepal",104,36.8,121.9,0,0,0,0,26,5.8,44,78.8,14.8,23.6,"Unhealthy for Sensitive Groups","Safe","Light Breeze","Comfortable"
"9",9,"Chongqing, China",102,36,55,43,23,9,700,19,3.6,95,66.2,18,17.2,"Unhealthy for Sensitive Groups","Safe","Light Air","Somewhat Muggy"
"10",10,"Shanghai, China",97,34,39,158,16,5,746,33,10,27,91.4,18.4,29.9,"Moderate","Caution","Light Breeze","Somewhat Muggy"
"11",11,"Kuwait City, Kuwait",94,46,0,0,0,0,0,34,39,25,93.2,19,30.8,"Moderate","Caution","Strong Breeze","Somewhat Muggy"
"12",12,"Riyadh, Saudi Arabia",92,27.5,0,0,0,0,0,33,28.2,10,91.4,15,29.8,"Moderate","Caution","Fresh Breeze","Comfortable"
